time,status,type,package
2024-06-06 12:13:27,sit,ACTIVITY_PAUSED,com.miui.home
2024-06-06 12:13:27,sit,ACTIVITY_RESUMED,com.mc.miband1
2024-06-06 12:13:27,sit,ACTIVITY_STOPPED,com.tencent.mm
2024-06-06 12:13:27,sit,CONFIGURATION_CHANGE,android
2024-06-06 12:13:27,sit,ACTIVITY_STOPPED,com.miui.home
2024-06-06 12:13:28,sit,SCREEN_NON_INTERACTIVE,android
2024-06-06 12:13:28,sit,ACTIVITY_PAUSED,com.mc.miband1
2024-06-06 12:13:29,sit,ACTIVITY_STOPPED,com.mc.miband1
2024-06-06 12:13:29,sit,KEYGUARD_SHOWN,android
2024-06-06 12:13:29,sit,CONFIGURATION_CHANGE,android
2024-06-06 12:14:06,sit,NOTIFICATION_INTERRUPTION,com.tencent.mm
2024-06-06 12:14:44,sit,SCREEN_INTERACTIVE,android
2024-06-06 12:14:44,sit,NOTIFICATION_SEEN,com.mc.miband1
2024-06-06 12:14:44,sit,NOTIFICATION_SEEN,com.tencent.mm
2024-06-06 12:14:44,sit,NOTIFICATION_INTERRUPTION,com.tencent.mm
2024-06-06 12:14:45,sit,ACTIVITY_RESUMED,com.mc.miband1
2024-06-06 12:14:45,sit,KEYGUARD_HIDDEN,android
2024-06-06 12:14:45,sit,CONFIGURATION_CHANGE,android
2024-06-06 12:14:54,sit,ACTIVITY_PAUSED,com.mc.miband1
2024-06-06 12:14:54,sit,ACTIVITY_RESUMED,com.android.deskclock
2024-06-06 12:14:55,sit,ACTIVITY_STOPPED,com.mc.miband1
2024-06-06 12:14:55,sit,CONFIGURATION_CHANGE,android
