dateTime,BandAccX,BandAccY,BandAccZ,altitude,course,hacc,latitude,longitude,speed,rate,rateZone,usage,deviceStatus,Acceleration_X,Acceleration_Y,Acceleration_Z,MagneticField_X,MagneticField_Y,MagneticField_Z,Orientation_X,Orientation_Y,Orientation_Z,AngularVelocity_X,AngularVelocity_Y,AngularVelocity_Z
2024-06-06 12:07:46.342,805.6,7436.4,658.0,79.6684794520548,0.0,6.826,52.334692684931504,4.861726273972603,0.0,98.0,0.51,on,KEYGUARD_SHOWN,0.9619150000000001,3.5916265,9.130711999999999,7.3125,-22.612501,-41.456253,-128.36608882181122,-21.15583921163999,-4.889530364377894,0.022903,0.041812,0.015979
2024-06-06 12:07:46.350,805.6,7436.4,658.0,79.64804109589042,0.0,6.826,52.334692630136985,4.8617264520547945,0.0,98.0,0.51,on,KEYGUARD_SHOWN,0.810569,3.631108,8.885747,7.365,-22.631251000000002,-41.4150024,-128.4282602979223,-21.21115055073809,-4.844232366535832,0.022903,0.041812,0.015979
2024-06-06 12:07:46.365,805.6,7436.4,658.0,79.62760273972603,0.0,6.826,52.334692575342466,4.861726630136987,0.0,98.0,0.51,on,KEYGUARD_SHOWN,0.8476575,3.68375,8.7248295,7.4175,-22.650001000000003,-41.3737518,-128.490502,-21.266416,-4.798853,0.022903,0.041812,0.015979
2024-06-06 12:07:46.370,805.6,7436.4,658.0,79.60716438356165,0.0,6.826,52.33469252054795,4.861726808219179,0.0,98.0,0.51,on,KEYGUARD_SHOWN,0.884746,3.736392,8.563912,7.47,-22.668751,-41.332501199999996,-128.6304064082216,-21.217090634354633,-4.537539038743952,0.022903,0.041812,0.015979
2024-06-06 12:07:46.390,805.6,7436.4,658.0,79.58672602739726,0.0,6.826,52.33469246575343,4.86172698630137,0.0,98.0,0.51,on,KEYGUARD_SHOWN,1.157528,3.215355,8.493324,7.5225,-22.687501,-41.2912506,-128.77002115382362,-21.167171307117087,-4.276442743950623,0.022903,0.041812,0.015979
2024-06-06 12:07:46.402,805.6,7436.4,658.0,79.56628767123289,0.0,6.826,52.3346924109589,4.861727164383562,0.0,98.0,0.51,on,KEYGUARD_SHOWN,1.184447,3.1992035000000003,8.715258500000001,7.575,-22.706251,-41.25,-128.9093432841287,-21.116659551690024,-4.015566096006191,0.022903,0.041812,0.015979
2024-06-06 12:07:46.410,805.6,7436.4,658.0,79.5458493150685,0.0,6.826,52.33469235616438,4.861727342465754,0.0,98.0,0.51,on,KEYGUARD_SHOWN,1.211366,3.183052,8.937193,7.63125,-22.71093825,-41.26875025,-129.04836987181633,-21.065556915601984,-3.754911048009455,0.022903,0.041812,0.015979
2024-06-06 12:07:46.430,805.6,7436.4,658.0,79.52541095890412,0.0,6.826,52.33469230136986,4.861727520547945,0.0,98.0,0.51,on,KEYGUARD_SHOWN,0.015553,3.366103,9.681958,7.6875,-22.7156255,-41.2875005,-129.1870980150353,-21.013864960332295,-3.49447952563269,0.022903,0.041812,0.015979
2024-06-06 12:07:46.450,805.6,7436.4,658.0,79.50497260273973,0.0,6.826,52.334692246575344,4.861727698630137,0.0,98.0,0.51,on,KEYGUARD_SHOWN,-0.434297,3.578466,10.414761,7.74375,-22.72031275,-41.306250750000004,-129.3255248375103,-20.9615852611355,-3.2342734269885023,0.022903,0.041812,0.015979
2024-06-06 12:07:46.462,805.6,7436.4,658.0,79.48453424657535,0.0,6.826,52.334692191780825,4.8617278767123295,0.0,98.0,0.51,on,KEYGUARD_SHOWN,-0.415753,3.5629125000000004,10.260723,7.8,-22.725,-41.325001,-129.46364748864232,-20.908719406865163,-2.9742946225025775,0.022903,0.041812,0.015979
2024-06-06 12:07:46.470,805.6,7436.4,658.0,79.46409589041096,0.0,6.826,52.3346921369863,4.861728054794521,0.0,98.0,0.51,on,KEYGUARD_SHOWN,-0.397209,3.547359,10.106685,7.83375,-22.728750400000003,-41.400001,-129.60146314360324,-20.855268999797367,-2.7145449547923377,0.022903,0.041812,0.015979
