dateTime,BandAccX,BandAccY,BandAccZ,altitude,course,hacc,latitude,longitude,speed,rate,rateZone,usage,deviceStatus,Acceleration_X,Acceleration_Y,Acceleration_Z,MagneticField_X,MagneticField_Y,MagneticField_Z,Orientation_X,Orientation_Y,Orientation_Z,AngularVelocity_X,AngularVelocity_Y,AngularVelocity_Z,act
2024-06-06 12:10:09.977,-3048.9334212465533,1366.6605341561692,1156.1219425347213,66.443,0.0,5.889,52.33466,4.861791,0.0,158.51905237584987,0.827999168314126,on,KEYGUARD_SHOWN,6.7755765,-14.32553,0.9176475,-14.418751,-29.00625,-21.28125,165.22688970547244,-11.76053464710841,106.3081028878721,0.0,0.0,0.0,run
2024-06-06 12:10:09.995,-2976.846364719666,1897.8678358947625,1090.5630497048771,66.443,0.0,5.889,52.33466,4.861791,0.0,158.52276064952093,0.8280168628791356,on,KEYGUARD_SHOWN,5.268397,-15.424733,-0.16331,-14.5987508,-28.822500400000003,-21.5400002,165.74713428045877,-10.908241715061068,107.16022065032548,0.0,0.0,0.0,run
2024-06-06 12:10:09.998,-2854.985519193804,2535.9018833479063,1014.6783166422396,66.443,0.0,5.889,52.33466,4.861791,0.0,158.526462923044,0.8280345095476223,on,KEYGUARD_SHOWN,2.4804595000000003,-14.8681025,-1.053739,-14.7787506,-28.6387508,-21.7987504,166.27877,-10.063654,108.01783,0.0,0.0,0.0,run
2024-06-06 12:10:10.015,-2691.1180725371905,3256.437615732967,930.9326989231164,66.443,0.0,5.889,52.33466,4.861791,0.0,158.53015914576173,0.8280521079986406,on,KEYGUARD_SHOWN,-0.307478,-14.311472,-1.944168,-14.9587504,-28.4550012,-22.0575006,0.0,0.0,0.0,0.0,0.0,0.0,run
2024-06-06 12:10:10.035,-2493.0112126180434,4035.149972267308,841.791152123816,66.443,0.0,5.889,52.33466,4.861791,0.0,158.53384926701693,0.8280696579112464,on,KEYGUARD_SHOWN,-3.125625,-10.985449,-3.235096,-15.1387502,-28.2712516,-22.3162508,165.01243259666876,-7.481931727767392,113.8630809039086,0.0,0.0,0.0,run
2024-06-06 12:10:10.037,-2268.4321273045825,4847.713892168298,749.7186318206464,66.443,0.0,5.889,52.33466,4.861791,0.0,158.5375332361522,0.8280871589644947,on,KEYGUARD_SHOWN,-1.6710874999999998,-9.8123675,-3.523431,-15.31875,-28.087502,-22.575001,164.4828309083345,-6.146804768513453,116.75150980381235,0.0,0.0,0.0,run
2024-06-06 12:10:10.055,-2025.1480044650275,5669.804314653299,657.1800935899154,66.443,0.0,5.889,52.33466,4.861791,0.0,158.54121100251027,0.8281046108374407,on,KEYGUARD_SHOWN,-0.21655,-8.639286,-3.811766,-15.553125,-27.773439250000003,-22.71093875,164.0225968253431,-4.786952790024711,119.6209451530648,0.0,0.0,0.0,run
2024-06-06 12:10:10.075,-1770.9260319675973,6477.096178939675,566.6404930079318,66.443,0.0,5.889,52.33466,4.861791,0.0,158.54488251543393,0.8281220132091399,on,KEYGUARD_SHOWN,5.589633,-6.101698,-3.751946,-15.7875,-27.4593765,-22.8468765,163.6319130977155,-3.405926816578295,122.4744413398412,0.0,0.0,0.0,run
2024-06-06 12:10:10.095,-1513.5333976805111,7245.264424244797,480.56478565100286,66.443,0.0,5.889,52.33466,4.861791,0.0,158.54854772426572,0.828139365758647,on,KEYGUARD_SHOWN,11.994023,-0.860818,-3.993621,-16.021875,-27.14531375,-22.98281425,163.3109458857946,-2.0072506354313218,125.31518438127034,0.0,0.0,0.0,run
2024-06-06 12:10:10.097,-1260.7372894719897,7949.983989786025,401.4179270954373,66.443,0.0,5.889,52.33466,4.861791,0.0,158.55220657834846,0.8281566681650179,on,KEYGUARD_SHOWN,12.618849,3.9338,-3.8584265,-16.25625,-26.831251,-23.118752,163.0598660313804,-0.5944255413483118,128.14647020586608,0.0,0.0,0.0,run
2024-06-06 12:10:10.115,-1020.3048952102508,8566.929814780724,331.6648729175429,66.443,0.0,5.889,52.33466,4.861791,0.0,158.5558590270248,0.8281739201073074,on,KEYGUARD_SHOWN,13.243675,8.728418,-3.723232,-16.695000200000003,-26.493751000000003,-23.118752,162.8788664009973,0.8290635202125889,130.97168494001042,0.0,0.0,0.0,run
2024-06-06 12:10:10.135,-800.0034027635141,9071.776838446262,273.77057869362767,66.443,0.0,5.889,52.33466,4.861791,0.0,158.5595050196375,0.828191121264571,on,KEYGUARD_SHOWN,10.633704,24.034109,2.973082,-17.1337504,-26.156251,-23.118752,162.7681752893914,2.259740691183909,133.7942867779257,0.0,0.0,0.0,run
2024-06-06 12:10:10.154,-607.6,9440.2,230.2,66.443,0.0,5.889,52.33466,4.861791,0.0,158.56314450552915,0.8282082713158636,on,KEYGUARD_SHOWN,13.0124685,29.598319,6.2282185,-17.5725006,-25.818751,-23.118752,162.72806586615133,3.6941310877483087,136.6177889516079,0.0,0.0,0.0,run
2024-06-06 12:10:10.155,-448.0383044583891,9653.251212164509,202.5071677950006,66.443,0.0,5.889,52.33466,4.861791,0.0,158.56677743404262,0.8282253699402409,on,KEYGUARD_SHOWN,15.391233,35.162529,9.483355,-18.0112508,-25.481251,-23.118752,162.758861625292,5.128752094980612,139.44574326767415,0.0,0.0,0.0,run
2024-06-06 12:10:10.157,-314.9676523592119,9713.490281683136,188.6024145651018,66.443,0.0,5.889,52.33466,4.861791,0.0,158.57040375452047,0.8282424168167577,on,KEYGUARD_SHOWN,17.0407855,34.7937355,11.424831,-18.450001,-25.143751,-23.118752,162.86093776162994,6.560104325069905,142.28172363921215,0.0,0.0,0.0,run
